action,step,count,avg,std
CASH_OUT,155,979,184727.2326,138019.1561
CASH_OUT,157,2792,182893.0445,136368.9175
CASH_OUT,158,3687,178504.2449,131967.4221
CASH_OUT,159,4156,175212.4269,130380.7361
CASH_OUT,160,4279,173260.5462,128510.6014
CASH_OUT,161,6650,170192.3588,127262.4137
CASH_OUT,162,7962,164435.5182,123208.9862
CASH_OUT,163,8734,167338.2072,125983.7152
CASH_OUT,164,8373,173395.7688,131142.3586
CASH_OUT,165,6215,172500.5756,129946.3493
CASH_OUT,166,4809,174561.3291,130132.4664
CASH_OUT,167,3055,175463.9813,129505.222
CASH_OUT,168,1715,172915.9844,129080.9958
CASH_OUT,169,630,173380.368,127743.7697
CASH_OUT,170,192,170612.1923,128709.4697
CASH_OUT,181,2029,177013.4311,132332.9324
CASH_OUT,182,4227,175952.8738,130034.6041
CASH_OUT,183,4460,172502.2375,126828.0732
CASH_OUT,184,5060,169692.82,125600.5068
CASH_OUT,185,6714,166366.1639,122957.0237
CASH_OUT,186,8258,160979.9463,118856.2813
CASH_OUT,187,9160,162265.7861,120126.3055
CASH_OUT,188,8329,164736.7984,121659.169
CASH_OUT,189,6232,164068.549,122175.7427
CASH_OUT,190,5117,163383.5864,122541.2363
CASH_OUT,191,3559,166195.9028,122593.0256
CASH_OUT,192,1902,165889.151,123575.4874
CASH_OUT,193,670,167231.8853,124264.1715
CASH_OUT,194,213,167710.6055,122595.5683
CASH_OUT,195,77,165611.6632,120774.2494
CASH_OUT,204,991,169338.6585,125042.9495
CASH_OUT,205,2995,165182.3855,121083.4494
CASH_OUT,206,2996,165214.6477,121742.6338
CASH_OUT,207,3342,164498.9081,121392.8243
CASH_OUT,208,4615,160604.1565,119906.3785
CASH_OUT,209,4851,158881.0656,119709.3944
CASH_OUT,210,5934,155025.7947,118364.1429
CASH_OUT,211,6472,164017.0239,125464.0793
CASH_OUT,212,7527,173920.1953,132050.4752
CASH_OUT,213,5919,174502.1299,133425.3055
CASH_OUT,214,4240,178353.5318,134450.3172
CASH_OUT,215,3015,177514.6341,133307.9364
CASH_OUT,216,1889,175773.162,130846.7668
CASH_OUT,217,1289,175891.2678,133639.8343
CASH_OUT,228,709,179405.1744,134418.0259
CASH_OUT,229,1121,182751.9225,136271.7225
CASH_OUT,230,632,175999.1586,131452.6196
CASH_OUT,231,2727,178380.7557,132034.4507
CASH_OUT,232,4858,172420.1028,129805.6352
CASH_OUT,234,6725,163342.1979,121088.0104
CASH_OUT,235,10223,164430.3375,122927.3464
CASH_OUT,236,7978,174472.5533,130224.1937
CASH_OUT,237,5777,172497.8499,129236.273
CASH_OUT,238,4306,173202.9328,128904.9879
CASH_OUT,239,3527,174319.4972,128893.7989
CASH_OUT,240,1677,170690.707,125998.6701
CASH_OUT,241,773,167750.1235,125397.6658
CASH_OUT,242,217,170413.9466,126965.2572
CASH_OUT,252,654,174456.9518,128781.2166
CASH_OUT,253,1973,175095.3438,128806.5136
CASH_OUT,254,2359,171646.636,125722.4336
CASH_OUT,255,3237,167978.7508,123610.8635
CASH_OUT,256,3741,165252.977,121835.2519
CASH_OUT,257,3275,159469.9978,118511.2101
CASH_OUT,258,4292,158227.4755,118830.7377
CASH_OUT,259,9744,153076.7335,114834.1907
CASH_OUT,260,7720,156192.7573,116309.346
CASH_OUT,261,5784,156613.8998,117356.8339
CASH_OUT,262,4209,154786.5181,117024.5872
CASH_OUT,263,3239,158442.7647,119101.8008
CASH_OUT,264,1799,158600.8574,120903.2363
CASH_OUT,265,699,157156.6905,121228.0639
CASH_OUT,266,305,159855.8604,122200.6935
CASH_OUT,267,38,165519.1301,125926.6952
CASH_OUT,276,1,103041.3731,54259.55009
CASH_OUT,277,96,159672.9019,118667.4102
CASH_OUT,279,50,161415.3612,128519.7647
CASH_OUT,281,2597,154296.7964,118064.6971
CASH_OUT,282,4870,153629.2857,118928.914
CASH_OUT,283,6095,165403.066,128208.8852
CASH_OUT,284,7281,175673.7931,132510.1806
CASH_OUT,285,5560,178471.0831,133103.7475
CASH_OUT,286,4567,181025.6023,133460.2996
CASH_OUT,287,3033,182176.8467,134679.071
CASH_OUT,288,1757,183712.3065,133666.8018
CASH_OUT,289,676,180745.7933,132723.9939
CASH_OUT,290,159,181473.6699,133625.2649
CASH_OUT,291,3,158726.2746,130646.9989
CASH_OUT,301,1011,185663.3551,136304.8418
CASH_OUT,302,2236,182490.3372,132606.4062
CASH_OUT,303,1537,180482.0435,132083.1009
CASH_OUT,304,2705,177852.0101,130581.6041
CASH_OUT,305,6596,172833.0732,127187.6272
CASH_OUT,306,8488,167258.3698,123479.822
CASH_OUT,307,8087,173455.6604,128828.2961
CASH_OUT,308,8267,178717.3867,132547.8559
CASH_OUT,309,5886,175048.516,129451.2951
CASH_OUT,310,4549,176699.9304,130666.5961
CASH_OUT,311,3781,172719.0289,127021.8752
CASH_OUT,312,1376,172676.8428,127395.3752
CASH_OUT,313,554,172546.9793,125532.8957
CASH_OUT,314,185,172720.8942,125441.2902
CASH_OUT,323,330,181461.9015,133794.3677
CASH_OUT,324,378,179705.1278,133048.1647
CASH_OUT,325,485,174678.8043,127079.8266
CASH_OUT,326,961,172827.5625,128273.1042
CASH_OUT,329,2600,172068.8711,126129.726
CASH_OUT,330,5638,169397.8883,124795.1925
CASH_OUT,331,5878,172933.117,127723.9232
CASH_OUT,332,7931,175961.7469,130368.1273
CASH_OUT,333,5702,175213.5933,128710.4868
CASH_OUT,334,4789,169311.679,125312.4769
CASH_OUT,335,3977,166026.9136,122187.5214
CASH_OUT,336,1161,165795.4717,120900.7152
CASH_OUT,337,118,166568.041,127479.5722
CASH_OUT,338,199,168979.98,123799.0947
CASH_OUT,349,659,172535.5185,127685.0015
CASH_OUT,350,614,169346.2372,123079.1955
CASH_OUT,354,4656,167871.5573,123693.5216
CASH_OUT,355,5655,173658.5597,127435.8248
CASH_OUT,356,7281,164750.7668,122278.2996
CASH_OUT,357,6144,159848.0096,118963.2008
CASH_OUT,358,4759,167123.9594,123958.4304
CASH_OUT,359,3240,156548.2182,114499.3614
CASH_OUT,360,1485,137935.4037,99085.36912
CASH_OUT,361,276,141188.3127,100238.2581
CASH_OUT,362,2,90447.09862,46156.98996
CASH_OUT,372,51,192091.1364,129829.9683
